Term,IDF
malaysia,"5,967495801"
males,"7,353790163"
malu,"6,842964539"
mampu,"6,054507178"
mana,"5,233526626"
mandek,"7,06610809"
manfaat,"6,054507178"
mangkrak,"4,247709832"
manis,"7,353790163"
mantab,"6,660642982"
mantan,"7,06610809"
mantap,"4,714732833"
mantappp,"7,353790163"
mantul,"7,353790163"
manusia,"6,054507178"
marah,"7,06610809"
marauke,"7,353790163"
mardigu,"7,759255271"
mari,"7,353790163"
mas,"6,255177874"
masa,"5,361359998"
masak,"7,353790163"
masalah,"5,507963472"
masarakat,"7,06610809"
masif,"7,06610809"
masingmasing,"7,353790163"
masjid,"5,967495801"
masuk,"5,407880014"
masyaallah,"6,842964539"
masyarakat,"5,233526626"
mata,"6,149817358"
mati,"5,456670178"
mau,"4,374865007"
maupun,"7,06610809"
mayoritas,"6,660642982"
media,"7,353790163"
mega,"6,255177874"
megah,"6,660642982"
megawati,"7,353790163"
meikarta,"5,316908235"
memang,"5,274348621"
menang,"6,842964539"
mencret,"7,759255271"
mending,"5,887453094"
mental,"7,06610809"
menteri,"6,37296091"
merah,"7,353790163"
mercusuar,"7,759255271"
merdeka,"6,149817358"
mereng,"7,759255271"
mesjid,"6,506492302"
meski,"6,37296091"
mesti,"7,353790163"
mikir,"6,149817358"
mikirin,"7,353790163"
mikirnya,"7,06610809"
milik,"5,679813729"
militer,"6,842964539"
milu,"7,06610809"
milyar,"7,353790163"
mimpi,"5,967495801"
minat,"7,353790163"
minggu,"7,353790163"
minim,"7,06610809"
minimal,"6,842964539"
minjem,"7,353790163"
minta,"6,660642982"
mirip,"6,054507178"
miris,"7,353790163"
misal,"6,842964539"
misi,"7,06610809"
miskin,"6,054507178"
mixue,"7,353790163"
mobil,"6,506492302"
modal,"6,660642982"
model,"7,353790163"
modern,"6,149817358"
modular,"7,353790163"
moga,"2,806955554"
mohon,"6,37296091"
mol,"7,759255271"
monas,"6,37296091"
monumen,"7,353790163"
motor,"7,353790163"
mu,"6,842964539"
mubazir,"7,06610809"
muda,"7,06610809"
mudah,"4,501158733"
mula,"6,842964539"
mulai,"5,156565585"
mulia,"7,353790163"
multi,"7,759255271"
mulu,"7,353790163"
munafik,"7,06610809"
mundur,"7,353790163"
mungkin,"5,156565585"
murah,"7,353790163"
muslim,"7,06610809"
musuh,"7,353790163"
muter,"7,353790163"
nafsu,"6,660642982"
nagara,"7,353790163"
nah,"6,255177874"
naik,"5,679813729"
nain,"7,06610809"
najam,"7,353790163"
nama,"5,407880014"
nambah,"7,06610809"
nampak,"7,353790163"
nanti,"5,887453094"
nanya,"7,06610809"
nasi,"7,06610809"
nasib,"6,506492302"
nasional,"6,506492302"
naturalisasi,"7,353790163"
nature,"7,759255271"
ndang,"7,759255271"
nebang,"7,759255271"
neg,"7,759255271"
nega,"7,759255271"
negara,"3,770271224"
negaraaa,"7,759255271"
negaraquot,"7,759255271"
negaratower,"7,759255271"
negeri,"5,085106621"
negerikumakmur,"7,759255271"
negra,"7,759255271"
negrike,"7,759255271"
negriku,"7,759255271"
nempati,"7,759255271"
nendang,"7,759255271"
neng,"7,353790163"
neom,"7,759255271"
neosantara,"7,759255271"
netizen,"7,759255271"
new,"7,353790163"
newmont,"7,759255271"
newyorkkartel,"7,759255271"
nex,"7,759255271"
next,"6,660642982"
ngabaiin,"7,759255271"
ngabis,"7,759255271"
ngabisin,"6,054507178"
ngadakan,"7,759255271"
nganggur,"7,06610809"
ngapain,"6,149817358"
ngarep,"7,759255271"
ngasih,"7,759255271"
ngatur,"7,759255271"
ngaturnya,"7,759255271"
ngawasin,"7,759255271"
nge,"7,353790163"
ngebangun,"7,353790163"
ngebayangin,"7,759255271"
ngebesarin,"7,759255271"
ngebet,"7,759255271"
ngebuat,"7,759255271"
ngebut,"7,759255271"
ngeklaim,"7,759255271"
ngelanjutin,"7,759255271"
ngelawan,"7,759255271"
ngeluh,"7,353790163"
ngerasain,"7,759255271"
ngerencanaiin,"7,759255271"
ngeri,"7,06610809"
ngerjakan,"7,759255271"
nggadibeken,"7,759255271"
nggapapa,"7,759255271"
nggk,"7,353790163"
ngibuuuul,"7,759255271"
ngikuti,"7,759255271"
ngin,"7,759255271"
ngkoh,"7,759255271"
nglihat,"7,759255271"
ngomong,"6,660642982"
ngomongin,"7,759255271"
ngontrak,"7,759255271"
ngoton,"7,759255271"
ngotot,"7,06610809"
ngp,"7,759255271"
nguli,"7,759255271"
ngurangin,"7,759255271"
ngurusin,"7,759255271"
ngutamain,"7,759255271"
ngutangpemb,"7,759255271"
ngutangyg,"7,759255271"
ngwakak,"7,759255271"
ni,"6,37296091"
niah,"7,759255271"
niat,"7,353790163"
nih,"5,967495801"
niiihada,"7,759255271"
nikmat,"6,37296091"
nilai,"7,353790163"
nipasti,"7,759255271"
niru,"7,759255271"
niscaya,"7,353790163"
njay,"7,759255271"
njir,"7,353790163"
nkri,"5,274348621"
nkriaminaminaminyarobsl,"7,759255271"
nkrl,"7,759255271"
nnnaaahh,"7,759255271"
nntidn,"7,759255271"
nntinya,"7,759255271"
nnya,"7,759255271"
no,"6,842964539"
noh,"7,06610809"
nol,"7,353790163"
nolak,"7,759255271"
nomer,"7,759255271"
nomor,"7,06610809"
noool,"7,759255271"
not,"7,759255271"
notonogoro,"7,759255271"
nt,"7,759255271"
ntr,"7,759255271"
nu,"7,759255271"
nuansa,"7,759255271"
nugu,"7,759255271"
nukang,"7,759255271"
numpang,"7,759255271"
numpuk,"6,842964539"
nun,"7,759255271"
nusa,"7,759255271"
nusantara,"4,841484539"
nusantarajuga,"7,759255271"
nusantarapa,"7,759255271"
nutfah,"7,759255271"
nya,"3,707470323"
nyaamiin,"7,759255271"
nyaamin,"7,353790163"
nyadar,"7,759255271"
nyala,"7,759255271"
nyaman,"6,842964539"
nyampai,"7,759255271"
nyanyi,"7,759255271"
nyapelaksanakaryawan,"7,759255271"
nyapres,"7,759255271"
nyari,"7,759255271"
nyata,"5,507963472"
nyatergantungnya,"7,759255271"
nyebut,"7,759255271"
nyerobot,"7,759255271"
nyimak,"7,759255271"
nyinyir,"7,06610809"
nyiyiran,"7,759255271"
nyjantng,"7,759255271"
nyolong,"7,759255271"
nyoo,"7,759255271"
nyungsep,"7,353790163"
nyuruh,"7,759255271"
nyusahin,"7,759255271"
obral,"7,759255271"
obrol,"7,759255271"
oceh,"7,759255271"
oe,"7,759255271"
oejabat,"7,759255271"
official,"7,06610809"
oke,"7,06610809"
oknum,"7,759255271"
oksigen,"7,759255271"
olahraga,"7,759255271"
olang,"7,759255271"
oligarki,"6,660642982"
olok,"7,759255271"
olokolokan,"7,759255271"
om,"7,759255271"
omong,"7,353790163"
omongin,"7,759255271"
on,"7,759255271"
ontokusumo,"7,759255271"
ooh,"7,759255271"
open,"7,759255271"
oper,"7,759255271"
operasi,"7,759255271"
oplas,"7,759255271"
opo,"7,759255271"
oposisi,"7,759255271"
optimal,"7,759255271"
optimis,"6,506492302"
or,"7,759255271"
ora,"7,759255271"
orang,"4,189722574"
orangorang,"7,353790163"
orangquot,"7,06610809"
orde,"7,759255271"
original,"7,759255271"
ormasormas,"7,759255271"
ornamen,"7,759255271"
orng,"7,06610809"
orngquot,"7,759255271"
otak,"5,887453094"
otomatis,"7,353790163"
otorita,"7,759255271"
otw,"7,353790163"
out,"7,759255271"
outsourcing,"7,759255271"
pa,"6,660642982"
pabrik,"7,759255271"
pacu,"7,759255271"
pada,"7,759255271"
padahal,"5,887453094"
padat,"6,506492302"
paddock,"7,759255271"
pade,"7,759255271"
pagi,"7,759255271"
paham,"6,054507178"
pahit,"6,660642982"
pahlawan,"7,759255271"
pajak,"5,887453094"
pakai,"5,361359998"
pakat,"7,759255271"
pakbravo,"7,759255271"
pakde,"7,06610809"
pakdhe,"7,353790163"
pake,"5,74435225"
pakek,"7,759255271"
pakganjar,"7,759255271"
pakkesejateraan,"7,759255271"
paksa,"6,149817358"
paku,"7,06610809"
palestine,"7,759255271"
paling,"5,361359998"
palsu,"7,353790163"
pamrih,"7,759255271"
panas,"6,842964539"
pancasila,"7,353790163"
pandai,"7,06610809"
pandaiya,"7,759255271"
pandang,"7,353790163"
pangan,"7,353790163"
pangeran,"7,759255271"
pangkal,"7,06610809"
panjang,"5,74435225"
panjangnyaterima,"7,759255271"
pantai,"7,353790163"
pantas,"7,353790163"
pantau,"6,660642982"
pantes,"7,353790163"
papapapa,"7,759255271"
papresiden,"7,759255271"
papua,"6,660642982"
paradigma,"7,759255271"
pariwisata,"7,759255271"
parkir,"7,353790163"
parlemen,"7,759255271"
parlemendi,"7,759255271"
partai,"6,506492302"
partaipasti,"7,759255271"
paru,"6,255177874"
paruparu,"7,353790163"
pas,"6,506492302"
pasang,"6,842964539"
pasar,"7,353790163"
pasarpasar,"7,759255271"
pasbanget,"7,759255271"
paser,"7,759255271"
past,"7,353790163"
pasti,"7,06610809"
pastitersenyumlah,"7,759255271"
pasu,"6,842964539"
patah,"7,353790163"
paten,"7,759255271"
patriot,"7,759255271"
patung,"7,353790163"
patut,"7,759255271"
pawang,"7,759255271"
payu,"7,759255271"
pbangunan,"7,759255271"
pbb,"7,759255271"
pdb,"7,06610809"
pdhal,"7,759255271"
pdi,"7,353790163"
pdip,"7,353790163"
pdliiknjbr,"7,353790163"
pecah,"7,759255271"
peduli,"6,842964539"
peemalas,"7,759255271"
peesatuan,"7,759255271"
pegang,"7,759255271"
pegawai,"6,842964539"
pein,"7,759255271"
pekerjaaan,"7,759255271"
pekerjadan,"7,759255271"
pekerjadibangun,"7,759255271"
pekerjakn,"7,759255271"
pekerjalapangan,"7,759255271"
pekerjanyalayak,"7,759255271"
pekerjax,"7,759255271"
pelan,"7,06610809"
pelihara,"7,759255271"
peluang,"7,06610809"
pematang,"7,759255271"
pembaggunanya,"7,759255271"
pembagunan,"7,06610809"
pembanfunan,"7,759255271"
pembanghnn,"7,759255271"
pembanguna,"7,06610809"
