feature_name,idf_weights
musuh,7.0063531596017325
muter,7.294035232053513
nafsu,7.0063531596017325
nah,6.44673737166631
naik,5.620058798481842
nain,7.0063531596017325
najam,6.783209608287523
nama,5.3481250829982
nambah,7.0063531596017325
nanti,5.7535901911063645
nanya,7.294035232053513
nasi,7.0063531596017325
nasib,6.313205979041787
nasional,6.783209608287523
negara,3.7482566215802504
negeri,4.958660316236477
next,6.313205979041787
ngapain,5.994752247923253
nge,7.294035232053513
ngeri,7.0063531596017325
ngiang,7.699500340161678
ngomong,7.0063531596017325
ngotot,7.0063531596017325
ngurangin,7.699500340161678
ngurusin,7.699500340161678
ngutangtapi,7.699500340161678
niah,7.699500340161678
niat,7.294035232053513
nice,7.699500340161678
nih,6.313205979041787
nikah,7.699500340161678
nikmat,6.090062427727577
nilai,7.294035232053513
nipasti,7.699500340161678
niru,7.699500340161678
niscaya,7.294035232053513
njay,7.699500340161678
njir,7.699500340161678
njis,7.699500340161678
nkri,5.060443010546419
nnnaaahh,7.699500340161678
nntinya,7.699500340161678
nnya,7.699500340161678
no,6.783209608287523
noh,6.600888051493568
nol,7.294035232053513
nomer,7.294035232053513
nomor,7.294035232053513
nonton,7.294035232053513
noool,7.699500340161678
noor,7.699500340161678
normal,7.699500340161678
nostalgia,7.699500340161678
not,7.699500340161678
nuansa,7.699500340161678
nukang,7.699500340161678
numpang,7.699500340161678
numpuk,7.294035232053513
nun,7.699500340161678
nusa,7.294035232053513
nusantara,4.7817296080773986
nusantarapa,7.699500340161678
nya,3.605155777939577
nyaamiin,7.699500340161678
nyaamin,7.294035232053513
nyagak,7.699500340161678
nyala,7.699500340161678
nyaman,6.195422943385404
nyambung,7.699500340161678
nyampe,7.699500340161678
nyanyi,7.699500340161678
nyapres,7.699500340161678
nyari,7.294035232053513
nyata,5.502275762825459
nyimak,7.699500340161678
nyinyir,6.783209608287523
nyiyiran,7.699500340161678
nyolong,7.699500340161678
nyontoh,7.699500340161678
nyoo,7.699500340161678
nyungsep,7.294035232053513
nyuruh,7.699500340161678
nyusahin,7.0063531596017325
ob,7.699500340161678
obral,7.699500340161678
obrol,7.699500340161678
oe,7.699500340161678
official,7.294035232053513
oke,7.294035232053513
oknum,7.699500340161678
oksigen,7.699500340161678
olah,7.699500340161678
olahraga,7.699500340161678
oligark,7.699500340161678
oligarki,6.783209608287523
oligarkilo,7.699500340161678
olokolokan,7.699500340161678
om,7.294035232053513
omong,7.0063531596017325
omongin,7.699500340161678
ontokusumo,7.699500340161678
open,7.699500340161678
oper,7.699500340161678
operasi,7.699500340161678
oplas,7.699500340161678
oposisi,7.294035232053513
optimal,7.699500340161678
optimis,6.313205979041787
or,7.699500340161678
ora,7.699500340161678
orang,4.048842098867939
orangorang,7.294035232053513
orde,7.699500340161678
original,7.699500340161678
ormas,7.699500340161678
ormasormas,7.699500340161678
ornamen,7.699500340161678
otak,5.827698163260086
otakatik,7.699500340161678
otomatis,7.699500340161678
otorita,7.699500340161678
otot,7.699500340161678
otw,7.294035232053513
out,7.699500340161678
pabrik,7.294035232053513
pacar,7.699500340161678
pacu,7.294035232053513
pada,7.699500340161678
padahal,5.827698163260086
padat,7.0063531596017325
paddock,7.699500340161678
pade,7.699500340161678
pagi,7.699500340161678
paham,6.195422943385404
pahit,6.44673737166631
pahlawan,7.699500340161678
pajak,5.827698163260086
pakai,4.896139959255143
pakat,7.699500340161678
pakde,7.699500340161678
pakdhe,7.294035232053513
pakganjar,7.699500340161678
pakkesejateraan,7.699500340161678
paksa,5.994752247923253
paku,6.783209608287523
palestine,7.699500340161678
paling,5.396915247167632
palsu,7.294035232053513
pam,7.699500340161678
pamrih,7.699500340161678
panas,6.783209608287523
pancasila,7.699500340161678
pandai,7.0063531596017325
pandaiya,7.699500340161678
pandang,7.699500340161678
pangan,7.294035232053513
pangeran,7.699500340161678
panggang,7.699500340161678
pangkal,7.0063531596017325
pangung,7.699500340161678
panjang,5.907740870933623
pantai,7.699500340161678
pantas,6.600888051493568
pantau,6.783209608287523
panuroto,7.699500340161678
panutan,7.699500340161678
papapapa,7.699500340161678
papua,6.783209608287523
paradigma,7.699500340161678
paranpekerja,7.699500340161678
paring,7.699500340161678
parit,7.699500340161678
pariwisata,7.699500340161678
parkir,7.294035232053513
parlemen,7.699500340161678
partai,6.44673737166631
paru,6.195422943385404
paruparu,7.294035232053513
pas,6.783209608287523
pasang,7.0063531596017325
pasar,7.294035232053513
pasarpasar,7.699500340161678
pasbanget,7.699500340161678
paser,7.294035232053513
pasti,6.783209608287523
pasu,6.783209608287523
patah,7.294035232053513
paten,7.699500340161678
pati,7.699500340161678
patok,7.699500340161678
patriot,7.699500340161678
patung,7.294035232053513
patungan,7.699500340161678
pawang,7.699500340161678
payung,7.699500340161678
pbangunan,7.699500340161678
pdb,7.0063531596017325
pdi,7.294035232053513
pdip,7.699500340161678
pdliiknjbr,7.294035232053513
pecah,7.294035232053513
pecat,7.699500340161678
peduli,6.600888051493568
pegang,7.0063531596017325
pegawai,7.0063531596017325
pein,7.699500340161678
pekerjalapangan,7.699500340161678
pelan,7.0063531596017325
pelihara,7.699500340161678
peluang,7.0063531596017325
pematang,7.699500340161678
pemb,7.699500340161678
pembaggunanya,7.699500340161678
pemerintahsukses,7.699500340161678
pempus,7.699500340161678
pemuda,7.294035232053513
pencil,7.699500340161678
pendapata,7.699500340161678
pendek,7.699500340161678
pengab,7.699500340161678
pengaruh,7.294035232053513
penghianat,7.699500340161678
penjajajahdibutuhkan,7.699500340161678
